Name,Source
James Minor Quarles,P241: military branch - Confederate States of America army
James Morrison Hawes,P241: military branch - Confederate States of America army
James P. Simms,P241: military branch - Confederate States of America army
James Patrick Major,P241: military branch - Confederate States of America army
James Philip Eagle,P241: military branch - Confederate States of America army
James Postell Douglas,P241: military branch - Confederate States of America army
James S. Johnston,P241: military branch - Confederate States of America army
James S. Rains,P241: military branch - Confederate States of America army
James T. Crossland,P241: military branch - Confederate States of America army
James T. Holtzclaw,P241: military branch - Confederate States of America army
James T. Jones,P241: military branch - Confederate States of America army
James Tyson Lane,P241: military branch - Confederate States of America army
James W. English,P241: military branch - Confederate States of America army
Jay Guy Cisco,P241: military branch - Confederate States of America army
Jedediah Hotchkiss,P241: military branch - Confederate States of America army
Jeptha Vining Harris,P241: military branch - Confederate States of America army
Jeptha Vining Harris,P241: military branch - Confederate States of America army
Jeremiah Augustus Henderson,P241: military branch - Confederate States of America army
Jeremiah Norman Williams,P241: military branch - Confederate States of America army
Jeremiah V. Cockrell,P241: military branch - Confederate States of America army
Jerome B. Robertson,P241: military branch - Confederate States of America army
Jesse Johnson Finley,P241: military branch - Confederate States of America army
Jesse Johnson Yeates,P241: military branch - Confederate States of America army
Jesse M. Williams,P241: military branch - Confederate States of America army
Joel Allen Battle,P241: military branch - Confederate States of America army
Joel Sweeney,P241: military branch - Confederate States of America army
John A. Poindexter,P241: military branch - Confederate States of America army
John Allan Wyeth,P241: military branch - Confederate States of America army
John Allen Wilcox,P241: military branch - Confederate States of America army
John B. Floyd,P241: military branch - Confederate States of America army
John B. Hoge,P241: military branch - Confederate States of America army
John Baptist Smith,P241: military branch - Confederate States of America army
John Basil Lamar,P241: military branch - Confederate States of America army
John Baylor,P241: military branch - Confederate States of America army
John Bratton,P241: military branch - Confederate States of America army
John Breckinridge Castleman,P241: military branch - Confederate States of America army
John Brown Gordon,P241: military branch - Confederate States of America army
John Bullock Clark,P241: military branch - Confederate States of America army
John Bullock Clark junior,P241: military branch - Confederate States of America army
John C. Brown,P241: military branch - Confederate States of America army
John C. C. Sanders,P241: military branch - Confederate States of America army
John C. Nicholls,P241: military branch - Confederate States of America army
John C. Reed,P241: military branch - Confederate States of America army
John C. Vaughn,P241: military branch - Confederate States of America army
John Calvin Fiser,P241: military branch - Confederate States of America army
John Carpenter Carter,P241: military branch - Confederate States of America army
John Collins Covell,P241: military branch - Confederate States of America army
John Cowper Granbery,P241: military branch - Confederate States of America army
John Creed Moore,P241: military branch - Confederate States of America army
John Critcher,P241: military branch - Confederate States of America army
John D. Ashmore,P241: military branch - Confederate States of America army
John D. Barry,P241: military branch - Confederate States of America army
John D. Stewart,P241: military branch - Confederate States of America army
John David McAdoo,P241: military branch - Confederate States of America army
John Davies Jackson,P241: military branch - Confederate States of America army
John DeWitt Clinton Atkins,P241: military branch - Confederate States of America army
John Donnell Smith,P241: military branch - Confederate States of America army
John Dunovant,P241: military branch - Confederate States of America army
John E.P. Daingerfield,P241: military branch - Confederate States of America army
John Esten Cooke,P241: military branch - Confederate States of America army
John Frank Wilson,P241: military branch - Confederate States of America army
John Goode,P241: military branch - Confederate States of America army
John Gregg,P241: military branch - Confederate States of America army
John H. Bankhead,P241: military branch - Confederate States of America army
John H. Evins,P241: military branch - Confederate States of America army
John H. Kelly,P241: military branch - Confederate States of America army
John H. Rogers,P241: military branch - Confederate States of America army
John H. Winder,P241: military branch - Confederate States of America army
John Hanson McNeill,P241: military branch - Confederate States of America army
John Henry Brown,P241: military branch - Confederate States of America army
John Henry Caldwell,P241: military branch - Confederate States of America army
John Hugh Means,P241: military branch - Confederate States of America army
John Jackson Dickison,P241: military branch - Confederate States of America army
John James Jones,P241: military branch - Confederate States of America army
John K. Jackson,P241: military branch - Confederate States of America army
John Lafayette Camp,P241: military branch - Confederate States of America army
John Lamb,P241: military branch - Confederate States of America army
John Lawrence Manning,P241: military branch - Confederate States of America army
John Lucas Miller,P241: military branch - Confederate States of America army
John M. Brockenbrough,P241: military branch - Confederate States of America army
John M. Pinckney,P241: military branch - Confederate States of America army
John M. Sandidge,P241: military branch - Confederate States of America army
John Marshall Stone,P241: military branch - Confederate States of America army
John May Taylor,P241: military branch - Confederate States of America army
John McCausland,P241: military branch - Confederate States of America army
John McEnery,P241: military branch - Confederate States of America army
John Newell,P241: military branch - Confederate States of America army
John Newman Edwards,P241: military branch - Confederate States of America army
"John Paul, Sr.",P241: military branch - Confederate States of America army
John Pegram,P241: military branch - Confederate States of America army
John Pelham,P241: military branch - Confederate States of America army
John Pemberton,P241: military branch - Confederate States of America army
John Preston Young,P241: military branch - Confederate States of America army
John Quincy Adams Nadenbousch,P241: military branch - Confederate States of America army
John R. Chambliss,P241: military branch - Confederate States of America army
John R. Fellows,P241: military branch - Confederate States of America army
John R. Jones,P241: military branch - Confederate States of America army
John S. Preston,P241: military branch - Confederate States of America army
John S. Richardson,P241: military branch - Confederate States of America army
John Salmon Ford,P241: military branch - Confederate States of America army
John Selden Roane,P241: military branch - Confederate States of America army
John Singleton Mosby,P241: military branch - Confederate States of America army
John Stuart Williams,P241: military branch - Confederate States of America army
John T. Coffee,P241: military branch - Confederate States of America army
John T. Hughes,P241: military branch - Confederate States of America army
John Thomas Glenn,P241: military branch - Confederate States of America army
John Thomas Lewis Preston,P241: military branch - Confederate States of America army
John Tyler Morgan,P241: military branch - Confederate States of America army
John W. Caldwell,P241: military branch - Confederate States of America army
John W. Daniel,P241: military branch - Confederate States of America army
John W. Frazer,P241: military branch - Confederate States of America army
John W. Kendall,P241: military branch - Confederate States of America army
John W. Lawson,P241: military branch - Confederate States of America army
John Wallace Jones,P241: military branch - Confederate States of America army
John Warren Moore,P241: military branch - Confederate States of America army
John Wilkins Whitfield,P241: military branch - Confederate States of America army
John William Jones,P241: military branch - Confederate States of America army
John William Reid,P241: military branch - Confederate States of America army
John Williams Shackelford,P241: military branch - Confederate States of America army
John Yates Beall,P241: military branch - Confederate States of America army
Jordan E. Cravens,P241: military branch - Confederate States of America army
Joseph Abbott,P241: military branch - Confederate States of America army
Joseph B. Palmer,P241: military branch - Confederate States of America army
"Joseph Biddle Wilkinson, Jr.",P241: military branch - Confederate States of America army
Joseph C. Porter,P241: military branch - Confederate States of America army
Joseph Chappell Hutcheson,P241: military branch - Confederate States of America army
Joseph Christmas Ives,P241: military branch - Confederate States of America army
Joseph Clay Stiles Blackburn,P241: military branch - Confederate States of America army
Joseph D. Bethune,P241: military branch - Confederate States of America army
Joseph F. Johnston,P241: military branch - Confederate States of America army
Joseph Finegan,P241: military branch - Confederate States of America army
Joseph G. Sanders,P241: military branch - Confederate States of America army
Joseph H. Beeman,P241: military branch - Confederate States of America army
Joseph J. Davis,P241: military branch - Confederate States of America army
Joseph Knox Walker,P241: military branch - Confederate States of America army
Joseph L. Hogg,P241: military branch - Confederate States of America army
Joseph L. Morphis,P241: military branch - Confederate States of America army
Joseph Lancaster Brent,P241: military branch - Confederate States of America army
Joseph O. Shelby,P241: military branch - Confederate States of America army
Joseph R. Davis,P241: military branch - Confederate States of America army
Joseph W. Latimer,P241: military branch - Confederate States of America army
Joseph Wheeler,P241: military branch - Confederate States of America army
Josiah Abigail Patterson Campbell,P241: military branch - Confederate States of America army
Jubal Early,P241: military branch - Confederate States of America army
Judson Claudius Clements,P241: military branch - Confederate States of America army
Julius A. De Lagnel,P241: military branch - Confederate States of America army
Junius Daniel,P241: military branch - Confederate States of America army
Kenton Harper,P241: military branch - Confederate States of America army
Khleber Miller Van Zandt,P241: military branch - Confederate States of America army
Kirkwood Otey,P241: military branch - Confederate States of America army
Lafayette Guild,P241: military branch - Confederate States of America army
Lamar Fontaine,P241: military branch - Confederate States of America army
Laura J. Williams,P241: military branch - Confederate States of America army
Laurence Massillon Keitt,P241: military branch - Confederate States of America army
Laurence S. Baker,P241: military branch - Confederate States of America army
Lawrence O’Bryan Branch,P241: military branch - Confederate States of America army
Lawrence Sullivan Ross,P241: military branch - Confederate States of America army
Leander H. McNelly,P241: military branch - Confederate States of America army
Leon Jastremski,P241: military branch - Confederate States of America army
Leonard A. Abercrombie,P241: military branch - Confederate States of America army
Leonidas Polk,P241: military branch - Confederate States of America army
Leopold Caspari,P241: military branch - Confederate States of America army
Leroy Augustus Stafford,P241: military branch - Confederate States of America army
Leroy McAfee,P241: military branch - Confederate States of America army
LeRoy Pope Walker,P241: military branch - Confederate States of America army
Levin Major Lewis,P241: military branch - Confederate States of America army
Lewis Armistead,P241: military branch - Confederate States of America army
Lewis B. Williams,P241: military branch - Confederate States of America army
Lewis E. Parsons,P241: military branch - Confederate States of America army
Lewis G DeRussy,P241: military branch - Confederate States of America army
Lewis Ginter,P241: military branch - Confederate States of America army
Lewis Henry Little,P241: military branch - Confederate States of America army
Littleton W. Moore,P241: military branch - Confederate States of America army
Lloyd Tilghman,P241: military branch - Confederate States of America army
Louis C. Latham,P241: military branch - Confederate States of America army
Louis Hébert,P241: military branch - Confederate States of America army
Louis Wigfall,P241: military branch - Confederate States of America army
"Lovick Pierce Thomas, I",P241: military branch - Confederate States of America army
Lucien C. Gause,P241: military branch - Confederate States of America army
Lucius B. Northrop,P241: military branch - Confederate States of America army
Lucius E. Polk,P241: military branch - Confederate States of America army
Lucius M. Walker,P241: military branch - Confederate States of America army
Lucius Quintus Cincinnatus Lamar,P241: military branch - Confederate States of America army
Luke Edward Wright,P241: military branch - Confederate States of America army
Luther Glenn,P241: military branch - Confederate States of America army
M. D. K. Taylor,P241: military branch - Confederate States of America army
Malcolm D. Graham,P241: military branch - Confederate States of America army
Marcellus Augustus Stovall,P241: military branch - Confederate States of America army
Marcellus Douglass,P241: military branch - Confederate States of America army
Marcus Joseph Wright,P241: military branch - Confederate States of America army
Mark Harden Blandford,P241: military branch - Confederate States of America army
Mark Perrin Lowrey,P241: military branch - Confederate States of America army
Marshall McDonald,P241: military branch - Confederate States of America army
Martin E. Green,P241: military branch - Confederate States of America army
Martin Jenkins Crawford,P241: military branch - Confederate States of America army
Martin L. Clardy,P241: military branch - Confederate States of America army
Martin Van Buren Bates,P241: military branch - Confederate States of America army
Mary Frances Battle,P241: military branch - Confederate States of America army
Matt Whitaker Ransom,P241: military branch - Confederate States of America army
Matthew Butler,P241: military branch - Confederate States of America army
Max Corput,P241: military branch - Confederate States of America army
Maxcy Gregg,P241: military branch - Confederate States of America army
Melancthon Smith,P241: military branch - Confederate States of America army
"Meriwether Lewis Clark, Sr.",P241: military branch - Confederate States of America army
Micah Jenkins,P241: military branch - Confederate States of America army
Michael P. O’Connor,P241: military branch - Confederate States of America army
Michael Walsh Cluskey,P241: military branch - Confederate States of America army
Milledge Luke Bonham,P241: military branch - Confederate States of America army
Montgomery Dent Corse,P241: military branch - Confederate States of America army
Morgan Rawls,P241: military branch - Confederate States of America army
Mosby Monroe Parsons,P241: military branch - Confederate States of America army
Moses Wright Hannon,P241: military branch - Confederate States of America army
Moxley Sorrel,P241: military branch - Confederate States of America army
Munson Rufus Hill,P241: military branch - Confederate States of America army
Nathan Bedford Forrest,P241: military branch - Confederate States of America army
Nathaniel Edwin Harris,P241: military branch - Confederate States of America army
Nathaniel Macon Burford,P241: military branch - Confederate States of America army
Newton Nash Clements,P241: military branch - Confederate States of America army
Nicholas Bartlett Pearce,P241: military branch - Confederate States of America army
Nicholas Henry Darnell,P241: military branch - Confederate States of America army
Nicola Marschall,P241: military branch - Confederate States of America army
Nimrod Jarrett Smith,P241: military branch - Confederate States of America army
Nimrod Lindsay Norton,P241: military branch - Confederate States of America army
Noble A. Hull,P241: military branch - Confederate States of America army
Noble Leslie DeVotie,P241: military branch - Confederate States of America army
Norvell P. Cobb,P241: military branch - Confederate States of America army
Olin Wellborn,P241: military branch - Confederate States of America army
Oswald Tilghman,P241: military branch - Confederate States of America army
Otho F. Strahl,P241: military branch - Confederate States of America army
P. G. T. Beauregard,P241: military branch - Confederate States of America army
Patrick Cleburne,P241: military branch - Confederate States of America army
Patrick Henry,P241: military branch - Confederate States of America army
Patrick Shannon,P241: military branch - Confederate States of America army
Patrick T. Moore,P241: military branch - Confederate States of America army
Paul C. Edmunds,P241: military branch - Confederate States of America army
Peter A.S. McGlashan,P241: military branch - Confederate States of America army
Peter Burwell Starke,P241: military branch - Confederate States of America army
Peter Charles Gaillard,P241: military branch - Confederate States of America army
Peter Fayssoux Stevens,P241: military branch - Confederate States of America army
Peter J. Otey,P241: military branch - Confederate States of America army
Peter Turney,P241: military branch - Confederate States of America army
Peter Youree,P241: military branch - Confederate States of America army
Peyton H. Colquitt,P241: military branch - Confederate States of America army
Philemon T. Herbert,P241: military branch - Confederate States of America army
Philemon Tracy,P241: military branch - Confederate States of America army
Philip Cook,P241: military branch - Confederate States of America army
Philip N. Luckett,P241: military branch - Confederate States of America army
Philip St. George Cocke,P241: military branch - Confederate States of America army
Philip W. McKinney,P241: military branch - Confederate States of America army
Phillip Roddey,P241: military branch - Confederate States of America army
Pierre Gustave Toutant de Beauregard,P241: military branch - Confederate States of America army
Pinckney Downie Bowles,P241: military branch - Confederate States of America army
Pleasant Tackitt,P241: military branch - Confederate States of America army
Poindexter Dunn,P241: military branch - Confederate States of America army
Polk Laffoon,P241: military branch - Confederate States of America army
Prentiss Ingraham,P241: military branch - Confederate States of America army
"Preston Pond, Jr.",P241: military branch - Confederate States of America army
Preston Smith,P241: military branch - Confederate States of America army
R. Preston Chew,P241: military branch - Confederate States of America army
Raleigh E. Colston,P241: military branch - Confederate States of America army
Randal William McGavock,P241: military branch - Confederate States of America army
Randall L. Gibson,P241: military branch - Confederate States of America army
Raphael J. Moses,P241: military branch - Confederate States of America army
Raphael Semmes,P241: military branch - Confederate States of America army
Read Fletcher,P241: military branch - Confederate States of America army
Reed N. Weisiger,P241: military branch - Confederate States of America army
Reuben Davis,P241: military branch - Confederate States of America army
Reuben Kolb,P241: military branch - Confederate States of America army
Reuben Lindsay Walker,P241: military branch - Confederate States of America army
Reuben Walker Carswell,P241: military branch - Confederate States of America army
Rice E. Graves,P241: military branch - Confederate States of America army
Richard Alexander Sneed,P241: military branch - Confederate States of America army
Richard Alsop Wise,P241: military branch - Confederate States of America army
Richard B. Garnett,P241: military branch - Confederate States of America army
Richard B. Hubbard,P241: military branch - Confederate States of America army
Richard C. Gatlin,P241: military branch - Confederate States of America army
Richard Chichester Mason,P241: military branch - Confederate States of America army
Richard Griffith,P241: military branch - Confederate States of America army
Richard H. Whiteley,P241: military branch - Confederate States of America army
Richard Henry Clarke,P241: military branch - Confederate States of America army
Richard Henry Dulany,P241: military branch - Confederate States of America army
Richard Lucian Page,P241: military branch - Confederate States of America army
Richard Montgomery Gano,P241: military branch - Confederate States of America army
Richard Owen Currey,P241: military branch - Confederate States of America army
Richard Rowland Kirkland,P241: military branch - Confederate States of America army
Richard S. Ewell,P241: military branch - Confederate States of America army
Richard Snowden Andrews,P241: military branch - Confederate States of America army
Richard Thomas,P241: military branch - Confederate States of America army
Richard Thomas Walker Duke,P241: military branch - Confederate States of America army
Richard Waterhouse,P241: military branch - Confederate States of America army
Richard William Dowling,P241: military branch - Confederate States of America army
Risden Tyler Bennett,P241: military branch - Confederate States of America army
Robert A. Hardaway,P241: military branch - Confederate States of America army
Robert A. Hardee,P241: military branch - Confederate States of America army
Robert Adams II,P241: military branch - Confederate States of America army
Robert Archibald Dobbin,P241: military branch - Confederate States of America army
Robert Augustus Toombs,P241: military branch - Confederate States of America army
Robert B. Vance,P241: military branch - Confederate States of America army
Robert Benjamin Hilton,P241: military branch - Confederate States of America army
Robert C. Newton,P241: military branch - Confederate States of America army
Robert C. Tyler,P241: military branch - Confederate States of America army
Robert Clayton Maffett,P241: military branch - Confederate States of America army
Robert D. Lilley,P241: military branch - Confederate States of America army
Robert Daniel Johnston,P241: military branch - Confederate States of America army
"Robert E. Lee, Jr.",P241: military branch - Confederate States of America army
Robert E. Rodes,P241: military branch - Confederate States of America army
Robert E. Withers,P241: military branch - Confederate States of America army
Robert Edward Lee,P241: military branch - Confederate States of America army
Robert F. Looney,P241: military branch - Confederate States of America army
Robert G. Shaver,P241: military branch - Confederate States of America army
Robert H. Chilton,P241: military branch - Confederate States of America army
Robert H. Hatton,P241: military branch - Confederate States of America army
Robert H. M. Davidson,P241: military branch - Confederate States of America army
Robert J. Morgan,P241: military branch - Confederate States of America army
Robert Johnson Henderson,P241: military branch - Confederate States of America army
Robert Lewis Dabney,P241: military branch - Confederate States of America army
Robert Lowry,P241: military branch - Confederate States of America army
Robert Ludwell Yates Peyton,P241: military branch - Confederate States of America army
Robert Mackey Stribling,P241: military branch - Confederate States of America army
Robert Murphy Mayo,P241: military branch - Confederate States of America army
"Robert N. Ogden, Jr.",P241: military branch - Confederate States of America army
Robert Neill,P241: military branch - Confederate States of America army
Robert Ould,P241: military branch - Confederate States of America army
Robert Plunket Maclay,P241: military branch - Confederate States of America army
Robert Selden Garnett,P241: military branch - Confederate States of America army
Robert V. Richardson,P241: military branch - Confederate States of America army
Robert White,P241: military branch - Confederate States of America army
Roger Atkinson Pryor,P241: military branch - Confederate States of America army
Roger Hanson,P241: military branch - Confederate States of America army
Roger Q. Mills,P241: military branch - Confederate States of America army
Roswell S. Ripley,P241: military branch - Confederate States of America army
Rudolph Septimus Siegling,P241: military branch - Confederate States of America army
Rufus Barringer,P241: military branch - Confederate States of America army
Rufus Bullock,P241: military branch - Confederate States of America army
Rufus Henry Ingram,P241: military branch - Confederate States of America army
"Rufus King Garland, Jr.",P241: military branch - Confederate States of America army
Rufus W. Cobb,P241: military branch - Confederate States of America army
S. A. M. Wood,P241: military branch - Confederate States of America army
S. Bassett French,P241: military branch - Confederate States of America army
Sally Louisa Tompkins,P241: military branch - Confederate States of America army
Samuel A'Court Ashe,P241: military branch - Confederate States of America army
Samuel Augustine Miller,P241: military branch - Confederate States of America army
Samuel B. Maxey,P241: military branch - Confederate States of America army
Samuel Bard,P241: military branch - Confederate States of America army
Samuel Benton,P241: military branch - Confederate States of America army
Samuel Checote,P241: military branch - Confederate States of America army
Samuel D. McEnery,P241: military branch - Confederate States of America army
Samuel Dibble,P241: military branch - Confederate States of America army
Samuel Eddy Barrett,P241: military branch - Confederate States of America army
Samuel I. Hopkins,P241: military branch - Confederate States of America army
Samuel Jameson Gholson,P241: military branch - Confederate States of America army
Samuel McGowan,P241: military branch - Confederate States of America army
Samuel McKee,P241: military branch - Confederate States of America army
Samuel P. Moore,P241: military branch - Confederate States of America army
Samuel W. Ferguson,P241: military branch - Confederate States of America army
Samuel W. Peel,P241: military branch - Confederate States of America army
Samuel Wragg Ferguson,P241: military branch - Confederate States of America army
Sanford C. Faulkner,P241: military branch - Confederate States of America army
Santos Benavides,P241: military branch - Confederate States of America army
Scott Shipp,P241: military branch - Confederate States of America army
Seth Barton,P241: military branch - Confederate States of America army
Sherod Hunter,P241: military branch - Confederate States of America army
Sidney D. Jackman,P241: military branch - Confederate States of America army
Silas Hare,P241: military branch - Confederate States of America army
Simon Pollard Hughes,P241: military branch - Confederate States of America army
Sion Hart Rogers,P241: military branch - Confederate States of America army
Smith S. Turner,P241: military branch - Confederate States of America army
Smith Stansbury,P241: military branch - Confederate States of America army
Solon Borland,P241: military branch - Confederate States of America army
St. John Richardson Liddell,P241: military branch - Confederate States of America army
St. Julien Ravenel,P241: military branch - Confederate States of America army
Stand Watie,P241: military branch - Confederate States of America army
Stapleton Crutchfield,P241: military branch - Confederate States of America army
States Rights Gist,P241: military branch - Confederate States of America army
Stephen A. Corker,P241: military branch - Confederate States of America army
Stephen F. Hale,P241: military branch - Confederate States of America army
Stephen Heard Darden,P241: military branch - Confederate States of America army
Sterling Price,P241: military branch - Confederate States of America army
Stovepipe Johnson,P241: military branch - Confederate States of America army
Sumner Archibald Cunningham,P241: military branch - Confederate States of America army
Sydenham Moore,P241: military branch - Confederate States of America army
T. R. Stockdale,P241: military branch - Confederate States of America army
Taul Bradford,P241: military branch - Confederate States of America army
Telfair Hodgson,P241: military branch - Confederate States of America army
Theodore Gaillard Hunt,P241: military branch - Confederate States of America army
"Theodore W. Brevard, Jr.",P241: military branch - Confederate States of America army
Thomas B. Catron,P241: military branch - Confederate States of America army
Thomas Bell Poole,P241: military branch - Confederate States of America army
Thomas Benton Smith,P241: military branch - Confederate States of America army
Thomas Boles,P241: military branch - Confederate States of America army
Thomas C. Lanier,P241: military branch - Confederate States of America army
Thomas Carmichael Hindman,P241: military branch - Confederate States of America army
Thomas Charles Fuller,P241: military branch - Confederate States of America army
Thomas Croxton,P241: military branch - Confederate States of America army
Thomas Drayton,P241: military branch - Confederate States of America army
Thomas E. Winn,P241: military branch - Confederate States of America army
Thomas F. Toon,P241: military branch - Confederate States of America army
Thomas Flournoy,P241: military branch - Confederate States of America army
Thomas Gregory Skinner,P241: military branch - Confederate States of America army
Thomas H. Herndon,P241: military branch - Confederate States of America army
Thomas H. Malone,P241: military branch - Confederate States of America army
Thomas H. Taylor,P241: military branch - Confederate States of America army
Thomas H. Woods,P241: military branch - Confederate States of America army
"Thomas Hardeman, Jr.",P241: military branch - Confederate States of America army
Thomas Harrison,P241: military branch - Confederate States of America army
Thomas Haymond,P241: military branch - Confederate States of America army
Thomas Henry Carter,P241: military branch - Confederate States of America army
Thomas Hines,P241: military branch - Confederate States of America army
Thomas James Churchill,P241: military branch - Confederate States of America army
Thomas Jefferson Foster,P241: military branch - Confederate States of America army
Thomas Jefferson Randolph,P241: military branch - Confederate States of America army
Thomas Johnson,P241: military branch - Confederate States of America army
Thomas Jordan,P241: military branch - Confederate States of America army
Thomas L. Rosser,P241: military branch - Confederate States of America army
Thomas Lanier Clingman,P241: military branch - Confederate States of America army
Thomas Lee Broun,P241: military branch - Confederate States of America army
Thomas Lowndes Snead,P241: military branch - Confederate States of America army
Thomas M. Gunter,P241: military branch - Confederate States of America army
Thomas M. Logan,P241: military branch - Confederate States of America army
Thomas M. Scott,P241: military branch - Confederate States of America army
Thomas M. Wagner,P241: military branch - Confederate States of America army
Thomas Neville Waul,P241: military branch - Confederate States of America army
Thomas P. Ochiltree,P241: military branch - Confederate States of America army
Thomas Pinckney,P241: military branch - Confederate States of America army
Thomas Pleasant Dockery,P241: military branch - Confederate States of America army
Thomas R. Ranson,P241: military branch - Confederate States of America army
Thomas Rogers Shearon,P241: military branch - Confederate States of America army
Thomas Ruffin,P241: military branch - Confederate States of America army
Thomas Saltus Lubbock,P241: military branch - Confederate States of America army
Thomas Spight,P241: military branch - Confederate States of America army
Thomas T. Fauntleroy,P241: military branch - Confederate States of America army
Thomas T. Munford,P241: military branch - Confederate States of America army
Thomas Whitehead,P241: military branch - Confederate States of America army
Thomas Young Simons,P241: military branch - Confederate States of America army
TJ Goree,P241: military branch - Confederate States of America army
Trusten Polk,P241: military branch - Confederate States of America army
Turner Ashby,P241: military branch - Confederate States of America army
Tyree H. Bell,P241: military branch - Confederate States of America army
Upton Hays,P241: military branch - Confederate States of America army
Van. H. Manning,P241: military branch - Confederate States of America army
Vannoy Hartrog Manning,P241: military branch - Confederate States of America army
Vernon K. Stevenson,P241: military branch - Confederate States of America army
Victor Girardey,P241: military branch - Confederate States of America army
Virgil Young Cook,P241: military branch - Confederate States of America army
Wade Hampton III.,P241: military branch - Confederate States of America army
Waldo P. Johnson,P241: military branch - Confederate States of America army
Waller Tazewell Patton,P241: military branch - Confederate States of America army
Walter Gwynn,P241: military branch - Confederate States of America army
Walter H. Stevens,P241: military branch - Confederate States of America army
Walter Herron Taylor,P241: military branch - Confederate States of America army
Walter P. Lane,P241: military branch - Confederate States of America army
Warren Adams,P241: military branch - Confederate States of America army
Washington C. Whitthorne,P241: military branch - Confederate States of America army
Wharton Jackson Green,P241: military branch - Confederate States of America army
Wilburn Hill King,P241: military branch - Confederate States of America army
Wilfred Emory Cutshaw,P241: military branch - Confederate States of America army
William A. Graham,P241: military branch - Confederate States of America army
William A. Harris,P241: military branch - Confederate States of America army
William Alexander McQueen,P241: military branch - Confederate States of America army
William Alfred Freret,P241: military branch - Confederate States of America army
William Allen Montgomery,P241: military branch - Confederate States of America army
William Ambrose Wright,P241: military branch - Confederate States of America army
William Anderson Handley,P241: military branch - Confederate States of America army
William Andrew Quarles,P241: military branch - Confederate States of America army
William B. Spencer,P241: military branch - Confederate States of America army
William B. Taliaferro,P241: military branch - Confederate States of America army
William Barksdale Tabb,P241: military branch - Confederate States of America army
William Beall,P241: military branch - Confederate States of America army
William C. Oates,P241: military branch - Confederate States of America army
William Clark Falkner,P241: military branch - Confederate States of America army
William Crawford Sherrod,P241: military branch - Confederate States of America army
William Crawford Smith,P241: military branch - Confederate States of America army
William Dudley Chipley,P241: military branch - Confederate States of America army
William Dunbar Holder,P241: military branch - Confederate States of America army
William Duncan Smith,P241: military branch - Confederate States of America army
William E. Gaines,P241: military branch - Confederate States of America army
William E. Starke,P241: military branch - Confederate States of America army
William Edmondson Jones,P241: military branch - Confederate States of America army
William Edwin Baldwin,P241: military branch - Confederate States of America army
William Elliott,P241: military branch - Confederate States of America army
William Elliott Simms,P241: military branch - Confederate States of America army
William Ephraim Smith,P241: military branch - Confederate States of America army
William F. Brantley,P241: military branch - Confederate States of America army
William F. Fitzgerald,P241: military branch - Confederate States of America army
William F. Perry,P241: military branch - Confederate States of America army
William F. Tucker,P241: military branch - Confederate States of America army
William Ferguson Slemons,P241: military branch - Confederate States of America army
William Frederick Steuart,P241: military branch - Confederate States of America army
William G. Lewis,P241: military branch - Confederate States of America army
William G. M. Davis,P241: military branch - Confederate States of America army
William Giles Harding,P241: military branch - Confederate States of America army
William Gilham,P241: military branch - Confederate States of America army
William H. Cate,P241: military branch - Confederate States of America army
William H. F. Payne,P241: military branch - Confederate States of America army
William H. Hatch,P241: military branch - Confederate States of America army
William H. Hunt,P241: military branch - Confederate States of America army
William H. Kendrick,P241: military branch - Confederate States of America army
William H. Tebbs,P241: military branch - Confederate States of America army
William Harrison Martin,P241: military branch - Confederate States of America army
William Hemphill,P241: military branch - Confederate States of America army
William Henry Carroll,P241: military branch - Confederate States of America army
William Henry Chase,P241: military branch - Confederate States of America army
William Henry Forney,P241: military branch - Confederate States of America army
William Henry Harman,P241: military branch - Confederate States of America army
William Henry Palmer,P241: military branch - Confederate States of America army
William Henry Parsons,P241: military branch - Confederate States of America army
William Henry Stiles,P241: military branch - Confederate States of America army
William Henry Wallace,P241: military branch - Confederate States of America army
William Hicks Jackson,P241: military branch - Confederate States of America army
William Hinson Cole,P241: military branch - Confederate States of America army
William Holland Thomas,P241: military branch - Confederate States of America army
William Hugh Young,P241: military branch - Confederate States of America army
William Hulsey,P241: military branch - Confederate States of America army
William J. Behan,P241: military branch - Confederate States of America army
William J. Sneed,P241: military branch - Confederate States of America army
William Johnson Stone,P241: military branch - Confederate States of America army
William L. Goggin,P241: military branch - Confederate States of America army
William L. Saunders,P241: military branch - Confederate States of America army
William Lamb,P241: military branch - Confederate States of America army
William Lee J. Lowrance,P241: military branch - Confederate States of America army
William Lewis Cabell,P241: military branch - Confederate States of America army
William Lewis Cabell,P241: military branch - Confederate States of America army
"William Lewis Moody, Sr.",P241: military branch - Confederate States of America army
William Lindsay Brandon,P241: military branch - Confederate States of America army
William Lowndes Calhoun,P241: military branch - Confederate States of America army
"William Lowther \""Mudwall\"" Jackson",P241: military branch - Confederate States of America army
William M. Browne,P241: military branch - Confederate States of America army
William M. Levy,P241: military branch - Confederate States of America army
William M. Robbins,P241: military branch - Confederate States of America army
William M. Walton,P241: military branch - Confederate States of America army
William MacRae,P241: military branch - Confederate States of America army
William Mahone,P241: military branch - Confederate States of America army
William Mecklenburg Polk,P241: military branch - Confederate States of America army
William Miller,P241: military branch - Confederate States of America army
William N. Pendleton,P241: military branch - Confederate States of America army
William Overall Yager,P241: military branch - Confederate States of America army
William P. Edwards,P241: military branch - Confederate States of America army
